id;nom;population;longitude;latitude
ozan;OZAN;618;4,91667;46,3833
cormoranche-sur-saone;CORMORANCHE-SUR-SAONE;1058;4,83333;46,2333
plagne-01;PLAGNE;129;5,73333;46,1833
tossiat;TOSSIAT;1406;5,31667;46,1333
pouillat;POUILLAT;88;5,43333;46,3333
torcieu;TORCIEU;698;5,4;45,9167
replonges;REPLONGES;3500;4,88333;46,3
corcelles;CORCELLES;243;5,58333;46,0333
peron;PERON;2143;5,93333;46,2
relevant;RELEVANT;466;4,95;46,0833
chaveyriat;CHAVEYRIAT;927;5,06667;46,1833
vaux-en-bugey;VAUX-EN-BUGEY;1169;5,35;45,9167
maillat;MAILLAT;668;5,55;46,1333
faramans-01;FARAMANS;681;5,11667;45,9
beon-01;BEON;373;5,75;45,8333
saint-bernard-01;SAINT-BERNARD;1375;4,73723;45,945
rossillon;ROSSILLON;148;5,6;45,8333
pont-d-ain;PONT-D'AIN;2627;5,33333;46,05
nantua;NANTUA;3713;5,61667;46,15
chavannes-sur-reyssouze;CHAVANNES-SUR-REYSSOUZE;680;5;46,4333
neuville-les-dames;NEUVILLE-LES-DAMES;1504;5;46,1667
flaxieu;FLAXIEU;63;5,73333;45,8167
hotonnes;HOTONNES;306;5,68333;46
saint-sorlin-en-bugey;SAINT-SORLIN-EN-BUGEY;1061;5,36667;45,8833
songieu;SONGIEU;130;5,7;45,9667
virieu-le-petit;VIRIEU-LE-PETIT;309;5,71667;45,9
saint-denis-en-bugey;SAINT-DENIS-EN-BUGEY;2178;5,33333;45,95
charnoz-sur-ain;CHARNOZ-SUR-AIN;911;5,21667;45,8667
chazey-sur-ain;CHAZEY-SUR-AIN;1464;5,25;45,9
marchamp;MARCHAMP;118;5,55;45,7833
culoz;CULOZ;2909;5,78333;45,85
mantenay-montlin;MANTENAY-MONTLIN;288;5,08333;46,4167
marboz;MARBOZ;2182;5,25;46,3333
foissiat;FOISSIAT;1912;5,18333;46,3667
treffort-cuisiat;TREFFORT-CUISIAT;2204;5,36834;46,2714
izieu;IZIEU;201;5,63333;45,65
saint-etienne-du-bois-01;SAINT-ETIENNE-DU-BOIS;2441;5,28333;46,2833
hauteville-lompnes;HAUTEVILLE-LOMPNES;4044;5,6;45,9667
saint-trivier-sur-moignans;SAINT-TRIVIER-SUR-MOIGNANS;1877;4,9;46,0667
peyriat;PEYRIAT;171;5,51667;46,15
evosges;EVOSGES;140;5,5;45,9583
poncin;PONCIN;1644;5,4;46,0833
crans-01;CRANS;269;5,21667;45,9667
montreal-la-cluse;MONTREAL-LA-CLUSE;3457;5,57084;46,1867
cleyzieu;CLEYZIEU;135;5,43333;45,9
lompnieu;LOMPNIEU;122;5,65;45,9667
villereversure;VILLEREVERSURE;1208;5,38333;46,1833
saint-martin-du-mont-01;SAINT-MARTIN-DU-MONT;1651;5,33333;46,1
saint-genis-pouilly;SAINT-GENIS-POUILLY;8914;6,01667;46,25
bolozon;BOLOZON;94;5,48333;46,2
confrancon;CONFRANCON;1157;5,06667;46,2667
lochieu;LOCHIEU;91;5,71667;45,9333
chanoz-chatenay;CHANOZ-CHATENAY;706;5,03333;46,1833
villebois;VILLEBOIS;1153;5,43333;45,85
ceignes;CEIGNES;265;5,5;46,1167
saint-didier-sur-chalaronne;SAINT-DIDIER-SUR-CHALARONNE;2776;4,81667;46,1667
revonnas;REVONNAS;788;5,33333;46,1667
bourg-saint-christophe;BOURG-SAINT-CHRISTOPHE;1173;5,16667;45,8833
condeissiat;CONDEISSIAT;756;5,08333;46,1667
pirajoux;PIRAJOUX;360;5,3;46,3833
chalamont;CHALAMONT;2322;5,16667;46
plantay;LE PLANTAY;540;5,08333;46,0167
versailleux;VERSAILLEUX;332;5,1;45,9833
montagnat;MONTAGNAT;1646;5,28333;46,1667
vieu;VIEU;380;5,68333;45,9
saint-andre-de-corcy;SAINT-ANDRE-DE-CORCY;2991;4,95;45,9167
bressolles-01;BRESSOLLES;709;5,1;45,8667
peronnas;PERONNAS;6054;5,2;46,1833
colomieu;COLOMIEU;115;5,61667;45,7333
monthieux;MONTHIEUX;599;4,93333;45,95
saint-jean-sur-reyssouze;SAINT-JEAN-SUR-REYSSOUZE;744;5,06667;46,4
garnerans;GARNERANS;656;4,83333;46,2
montrevel-en-bresse;MONTREVEL-EN-BRESSE;2362;5,13333;46,3333
conand;CONAND;104;5,46667;45,8833
challes-la-montagne;CHALLES-LA-MONTAGNE;179;5,46667;46,1333
mogneneins;MOGNENEINS;727;4,81667;46,1333
thoissey;THOISSEY;1540;4,8;46,1667
chaleins;CHALEINS;1165;4,8;46,0333
neuville-sur-ain;NEUVILLE-SUR-AIN;1571;5,36667;46,0833
thil-01;THIL;1070;5,01667;45,8167
jujurieux;JUJURIEUX;2097;5,41667;46,0333
oncieu;ONCIEU;91;5,46667;45,95
lurcy;LURCY;393;4,76667;46,0667
balan-01;BALAN;2348;5,1;45,8333
ambutrix;AMBUTRIX;729;5,33333;45,9333
sainte-croix-01;SAINTE-CROIX;534;5,05195;45,8942
blyes;BLYES;886;5,25;45,85
conzieu;CONZIEU;135;5,6;45,7333
nievroz;NIEVROZ;1488;5,06667;45,8333
nurieux-volognat;NURIEUX-VOLOGNAT;1058;5,52667;46,1856
ambleon;AMBLEON;116;5,6;45,75
saint-maurice-de-gourdans;SAINT-MAURICE-DE-GOURDANS;2498;5,2;45,8167
chezery-forens;CHEZERY-FORENS;434;5,88333;46,2167
sault-brenaz;SAULT-BRENAZ;1043;5,41667;45,85
murs-et-gelignieux;MURS-ET-GELIGNIEUX;241;5,66667;45,6333
petit-abergement;LE PETIT-ABERGEMENT;138;5,65;46,0333
cormoz;CORMOZ;625;5,23333;46,45
saint-martin-de-bavel;SAINT-MARTIN-DE-BAVEL;443;5,68333;45,85
saint-trivier-de-courtes;SAINT-TRIVIER-DE-COURTES;1013;5,08333;46,4667
boyeux-saint-jerome;BOYEUX-SAINT-JEROME;321;5,46667;46,0333
chateau-gaillard;CHATEAU-GAILLARD;1818;5,3;45,9667
premeyzel;PREMEYZEL;234;5,65;45,6833
arandas;ARANDAS;163;5,48333;45,9
chatenay-01;CHATENAY;352;5,2;46,0333
innimond;INNIMOND;114;5,56667;45,7833
boz;BOZ;496;4,9;46,4
briord;BRIORD;893;5,46667;45,7833
reyrieux;REYRIEUX;4093;4,81667;45,9333
matafelon-granges;MATAFELON-GRANGES;652;5,56667;46,2667
drom;DROM;209;5,36667;46,2167
chatillon-en-michaille;CHATILLON-EN-MICHAILLE;3120;5,78333;46,1333
polliat;POLLIAT;2403;5,13333;46,25
vesancy;VESANCY;526;6,08333;46,35
massieux;MASSIEUX;2428;4,83333;45,9167
saint-cyr-sur-menthon;SAINT-CYR-SUR-MENTHON;1636;4,98333;46,2667
serrieres-sur-ain;SERRIERES-SUR-AIN;119;5,45;46,15
nivollet-montgriffon;NIVOLLET-MONTGRIFFON;143;5,43333;45,9833
izernore;IZERNORE;2278;5,55;46,2167
saint-nizier-le-desert;SAINT-NIZIER-LE-DESERT;880;5,15;46,05
guereins;GUEREINS;1308;4,78333;46,1
illiat;ILLIAT;570;4,88333;46,1833
trancliere;LA TRANCLIERE;301;5,26667;46,1167
saint-didier-de-formans;SAINT-DIDIER-DE-FORMANS;1792;4,78333;45,95
merignat;MERIGNAT;139;5,43333;46,0667
saint-eloi-01;SAINT-ELOI;399;5,15;45,9333
chapelle-du-chatelard;LA CHAPELLE-DU-CHATELARD;341;5,03333;46,0667
saint-jean-de-niost;SAINT-JEAN-DE-NIOST;1421;5,21667;45,8333
savigneux-01;SAVIGNEUX;1204;4,85;46
nattages;NATTAGES;564;5,76667;45,7333
saint-benoÌ¨t-01;SAINT-BENOIT;773;5,58333;45,7
douvres;DOUVRES;962;5,36667;45,9833
francheleins;FRANCHELEINS;1323;4,8;46,0667
dortan;DORTAN;1996;5,66667;46,3167
saint-germain-les-paroisses;SAINT-GERMAIN-LES-PAROISSES;387;5,61667;45,7667
miribel-01;MIRIBEL;9066;4,95306;45,8245
lancrans;LANCRANS;1052;5,83333;46,1333
echenevex;ECHENEVEX;1631;6,03333;46,3167
saint-jean-sur-veyle;SAINT-JEAN-SUR-VEYLE;1082;4,91667;46,25
billiat;BILLIAT;484;5,78333;46,0667
abergement-de-varey;L'ABERGEMENT-DE-VAREY;221;5,41667;46
villeneuve-01;VILLENEUVE;1383;4,83667;46,0212
villars-les-dombes;VILLARS-LES-DOMBES;4399;5,01667;46
thezillieu;THEZILLIEU;324;5,6;45,8833
saint-etienne-sur-reyssouze;SAINT-ETIENNE-SUR-REYSSOUZE;531;5;46,4
souclin;SOUCLIN;261;5,41667;45,8667
saint-just-01;SAINT-JUST;881;5,28;46,1903
civrieux;CIVRIEUX;1362;4,88333;45,9167
argis;ARGIS;421;5,48333;45,9333
talissieu;TALISSIEU;425;5,71667;45,8667
birieux;BIRIEUX;236;5,03333;45,95
saint-julien-sur-veyle;SAINT-JULIEN-SUR-VEYLE;715;4,95;46,2
thoiry-01;THOIRY;5205;5,97973;46,2364
laiz;LAIZ;1130;4,88333;46,25
cressin-rochefort;CRESSIN-ROCHEFORT;374;5,76667;45,7667
saint-champ;SAINT-CHAMP;139;5,73333;45,7833
saint-georges-sur-renon;SAINT-GEORGES-SUR-RENON;197;5,03333;46,1
lantenay-01;LANTENAY;257;5,53333;46,05
vernoux;VERNOUX;285;5,11667;46,4833
cormaranche-en-bugey;CORMARANCHE-EN-BUGEY;859;5,6;45,95
sainte-euphemie;SAINTE-EUPHEMIE;1482;4,78333;45,9667
beaupont;BEAUPONT;624;5,26667;46,4
brens-01;BRENS;1158;5,69473;45,7187
ramasse;RAMASSE;250;5,35;46,2
divonne-les-bains;DIVONNE-LES-BAINS;8160;6,13333;46,3667
leaz;LEAZ;569;5,88333;46,1
villes;VILLES;385;5,78333;46,0833
saint-julien-sur-reyssouze;SAINT-JULIEN-SUR-REYSSOUZE;668;5,11667;46,4
groslee;GROSLEE;353;5,56667;45,7167
vandeins;VANDEINS;619;5,08333;46,2167
verjon;VERJON;250;5,35;46,35
saint-andre-sur-vieux-jonc;SAINT-ANDRE-SUR-VIEUX-JONC;1079;5,06667;46,15
saint-andre-d-huiriat;SAINT-ANDRE-D'HUIRIAT;543;4,91667;46,2167
grilly;GRILLY;762;6,11667;46,3333
cessy;CESSY;3992;6,06667;46,3167
ordonnaz;ORDONNAZ;141;5,53333;45,8333
vescours;VESCOURS;208;5,03333;46,4667
meillonnas;MEILLONNAS;1298;5,35;46,25
geovreisset;GEOVREISSET;903;5,6;46,25
ceyzerieu;CEYZERIEU;929;5,73333;45,8333
beard-geovreissiat;BEARD-GEOVREISSIAT;925;5,56667;46,2
burbanche;LA BURBANCHE;72;5,56667;45,85
